PEOU1,PEOU2,PEOU3,PEOU4,PU1,PU2,PU3,PU4,PU5,ATT1,ATT2,ATT3,ATT4,BI1,BI2,BI3,BI4,AU1,AU2,AU3,AU4,TR1,TR2,TR3,TR4,SI1,SI2,SI3,SI4,PR1,PR2,PR3,PR4,SE1,SE2,SE3,SE4,FC1,FC2,FC3
4,4,4,2,4,4,3,3,4,3,3,3,3,3,3,3,3,2,3,1,2,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,4,3,3
3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2,1,2,1,3,3,4,3,1,1,2,2,2,2,2,2,4,4,4,4,2,3,2
4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,2,2,3,2,2,2,2,2,4,3,3,4,2,2,2,2,4,4,4
4,4,4,3,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,3,5,3,3,4,3,3,4,4,4,3,3,3,4,3,4,4,3,4,3,4
3,3,2,2,3,3,4,3,3,3,3,2,3,2,3,2,3,2,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,3,2,2,3,2,4
3,3,2,4,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,5,5,5,4,3,3,3,3,2,2,2,2,4,4,5
5,5,5,2,3,4,3,3,4,4,4,3,4,3,3,3,4,3,3,3,3,5,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,2,3,2
4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,3,3,3,4,4,3,3,3,3,3,2,2,2,3,2,2,2,2,2,4,2
3,2,2,4,3,2,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,3,4,3,3,2,2,3,2,2,1,1
4,4,4,3,5,5,4,5,5,4,4,4,4,4,4,5,4,5,4,4,5,3,3,4,3,4,4,4,4,3,3,2,3,2,2,2,2,4,4,5
2,3,3,3,2,2,3,2,2,3,3,3,2,3,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,3,3,5,5,5,4,4,5,3
3,3,3,3,3,3,3,3,4,1,2,1,1,2,1,1,2,2,2,2,2,4,3,2,4,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3
3,3,4,4,4,4,3,3,4,4,4,4,5,3,3,3,4,3,4,3,3,4,4,3,4,5,5,5,5,4,4,3,3,2,2,3,2,3,2,4
1,1,2,3,2,2,2,3,2,1,1,1,1,2,2,3,2,2,1,3,1,2,2,3,2,3,3,3,3,3,4,3,4,3,4,4,4,2,2,2
1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,5,4,3,3,2,3,5,4,5
3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,5,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3
2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4
3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,5,4,5,4,4,4,5,4,3,3,3,3,4,4,4,5,4,4,4
2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,3,4,3,2,3,3,4,2,3
2,2,1,4,2,2,2,2,2,3,3,2,3,4,4,4,4,3,3,3,3,2,2,4,3,5,4,4,4,3,3,3,3,2,3,2,3,3,2,3
